,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3032,5083000375,3/19/2015,235000.0,3,1.0,1310,9529,1.0,NO,NONE,Average,7 Average,1310,0.0,1956,0.0,98198,47.4105,-122.295,1330,9529
3295,7409700215,6/6/2014,550000.0,3,1.5,1900,5000,1.5,NO,NONE,Average,7 Average,1640,260.0,1926,0.0,98115,47.6779,-122.294,2090,5000
3296,7409700215,3/13/2015,921500.0,3,1.5,1900,5000,1.5,NO,NONE,Average,7 Average,1640,260.0,1926,0.0,98115,47.6779,-122.294,2090,5000
3536,1823049202,6/10/2014,175000.0,6,1.5,1930,8400,1.0,,NONE,Average,7 Average,1030,900.0,1971,0.0,98146,47.4869,-122.34,1780,9520
3537,1823049202,1/7/2015,326000.0,6,1.5,1930,8400,1.0,NO,NONE,Average,7 Average,1030,900.0,1971,0.0,98146,47.4869,-122.34,1780,9520
3619,2767602141,9/5/2014,525000.0,3,1.5,1380,4290,1.0,NO,NONE,Average,7 Average,1080,300.0,1955,0.0,98107,47.674,-122.379,1510,3900
3620,2767602141,12/22/2014,650000.0,3,1.5,1380,4290,1.0,NO,NONE,Average,7 Average,1080,300.0,1955,,98107,47.674,-122.379,1510,3900
3752,1254200015,12/16/2014,405000.0,3,2.5,2260,5500,1.5,NO,NONE,Average,7 Average,1280,980.0,1910,,98117,47.681,-122.388,1790,5355
3753,1254200015,4/8/2015,625000.0,3,2.5,2260,5500,1.5,NO,NONE,Average,7 Average,1280,980.0,1910,0.0,98117,47.681,-122.388,1790,5355
3781,723049156,5/23/2014,149000.0,3,1.0,1700,8645,1.0,NO,NONE,Average,6 Low Average,1700,0.0,1955,0.0,98146,47.4899,-122.337,1500,7980
3782,723049156,11/12/2014,284700.0,3,1.0,1700,8645,1.0,NO,NONE,Average,6 Low Average,1700,0.0,1955,0.0,98146,47.4899,-122.337,1500,7980
3789,4435000705,7/8/2014,160000.0,3,1.0,1350,8700,1.5,NO,NONE,Average,6 Low Average,1350,0.0,1942,0.0,98188,47.4497,-122.289,1300,8700
3790,4435000705,3/9/2015,255500.0,3,1.0,1350,8700,1.5,NO,NONE,Average,6 Low Average,1350,0.0,1942,,98188,47.4497,-122.289,1300,8700
3874,4364700600,12/16/2014,216000.0,3,1.0,1010,7920,1.0,NO,NONE,Average,6 Low Average,1010,0.0,1925,0.0,98126,47.5249,-122.37,1520,7560
3875,4364700600,3/30/2015,390000.0,3,1.0,1010,7920,1.0,NO,NONE,Average,6 Low Average,1010,0.0,1925,0.0,98126,47.5249,-122.37,1520,7560
3946,1825069031,8/14/2014,550000.0,4,1.75,2410,8447,2.0,NO,GOOD,Good,8 Good,2060,350.0,1936,1980.0,98074,47.6499,-122.088,2520,14789
3947,1825069031,10/16/2014,550000.0,4,1.75,2410,8447,2.0,,GOOD,Good,8 Good,2060,350.0,1936,1980.0,98074,47.6499,-122.088,2520,14789
4073,3262300940,11/7/2014,875000.0,3,1.0,1220,8119,1.0,NO,NONE,Good,7 Average,1220,0.0,1955,,98039,47.6328,-122.236,1910,8119
4074,3262300940,2/10/2015,940000.0,3,1.0,1220,8119,1.0,NO,NONE,Good,7 Average,1220,0.0,1955,,98039,47.6328,-122.236,1910,8119
4338,9353300600,6/24/2014,348500.0,3,1.5,1360,10726,1.0,NO,NONE,Good,7 Average,1360,0.0,1966,0.0,98059,47.4948,-122.134,1650,10726
4339,9353300600,3/26/2015,370000.0,3,1.5,1360,10726,1.0,NO,NONE,Good,7 Average,1360,0.0,1966,0.0,98059,47.4948,-122.134,1650,10726
4867,1524079093,8/27/2014,275000.0,3,1.75,1300,20700,1.0,NO,NONE,Average,7 Average,1300,0.0,1962,,98024,47.5587,-121.904,1930,37638
4868,1524079093,3/18/2015,369500.0,3,1.75,1300,20700,1.0,,NONE,Average,7 Average,1300,0.0,1962,0.0,98024,47.5587,-121.904,1930,37638
4917,9809000020,5/13/2014,1900000.0,5,2.25,3120,16672,2.0,NO,NONE,Good,9 Better,3120,0.0,1969,,98004,47.6458,-122.219,3740,17853
4918,9809000020,3/13/2015,1940000.0,5,2.25,3120,16672,2.0,NO,NONE,Good,9 Better,3120,0.0,1969,0.0,98004,47.6458,-122.219,3740,17853
5239,3303000130,1/16/2015,370000.0,3,2.25,1770,7667,1.0,NO,NONE,Average,8 Good,1270,500.0,1966,0.0,98177,47.7724,-122.362,2180,8103
5240,3303000130,4/28/2015,520000.0,3,2.25,1770,7667,1.0,,NONE,Average,8 Good,1270,500.0,1966,,98177,47.7724,-122.362,2180,8103
5246,7524400250,8/22/2014,424240.0,3,2.0,2080,12094,2.0,NO,NONE,Good,8 Good,2080,0.0,1982,0.0,98052,47.7035,-122.164,2230,12204
5247,7524400250,11/24/2014,589950.0,3,2.0,2080,12094,2.0,NO,NONE,Good,8 Good,2080,0.0,1982,,98052,47.7035,-122.164,2230,12204
5267,4204400098,1/19/2015,250000.0,5,1.75,2190,8250,1.0,NO,AVERAGE,Average,7 Average,1190,1000.0,1963,0.0,98055,47.4887,-122.223,2570,8250
5268,4204400098,4/21/2015,385000.0,5,1.75,2190,8250,1.0,,AVERAGE,Average,7 Average,1190,1000.0,1963,0.0,98055,47.4887,-122.223,2570,8250
5335,6632900574,8/6/2014,367500.0,5,3.0,2980,10064,1.0,NO,NONE,Average,7 Average,1680,1300.0,1940,0.0,98155,47.7372,-122.316,1590,7800
5336,6632900574,2/25/2015,595000.0,5,3.0,2980,10064,1.0,NO,NONE,Average,7 Average,1680,1300.0,1940,0.0,98155,47.7372,-122.316,1590,7800
5587,2726049071,12/11/2014,510000.0,2,1.0,820,4206,1.0,,NONE,Average,5 Fair,820,0.0,1949,0.0,98125,47.7076,-122.284,1810,7200
5588,2726049071,4/8/2015,489950.0,2,1.0,820,4206,1.0,NO,NONE,Average,5 Fair,820,0.0,1949,,98125,47.7076,-122.284,1810,7200
5689,3578401060,12/16/2014,345000.0,3,2.25,1920,9672,2.0,NO,NONE,Good,8 Good,1920,0.0,1984,0.0,98074,47.6233,-122.046,1950,10125
5690,3578401060,5/4/2015,625000.0,3,2.25,1920,9672,2.0,NO,NONE,Good,8 Good,1920,0.0,1984,0.0,98074,47.6233,-122.046,1950,10125
5718,1788800630,10/29/2014,96500.0,3,1.0,840,12091,1.0,,NONE,Average,6 Low Average,840,0.0,1959,0.0,98023,47.3281,-122.343,840,9324
5719,1788800630,2/25/2015,185000.0,3,1.0,840,12091,1.0,NO,NONE,Average,6 Low Average,840,0.0,1959,0.0,98023,47.3281,-122.343,840,9324
5751,6381500170,8/26/2014,235000.0,2,1.0,910,7617,1.0,NO,NONE,Average,6 Low Average,910,0.0,1936,0.0,98125,47.7332,-122.305,1310,6624
5752,6381500170,1/16/2015,365000.0,2,1.0,910,7617,1.0,NO,NONE,Average,6 Low Average,910,0.0,1936,0.0,98125,47.7332,-122.305,1310,6624
5753,1954420170,5/21/2014,368250.0,3,2.5,2150,7484,2.0,NO,NONE,Average,8 Good,2150,0.0,1988,,98074,47.6191,-122.043,2150,6879
5754,1954420170,11/13/2014,580000.0,3,2.5,2150,7484,2.0,NO,NONE,Average,8 Good,2150,0.0,1988,,98074,47.6191,-122.043,2150,6879
5966,1545800290,9/5/2014,215000.0,4,2.5,1700,6675,2.0,NO,NONE,Average,7 Average,1700,0.0,1997,0.0,98038,47.3638,-122.053,1570,7540
5967,1545800290,4/8/2015,315000.0,4,2.5,1700,6675,2.0,NO,NONE,Average,7 Average,1700,0.0,1997,0.0,98038,47.3638,-122.053,1570,7540
6339,9828200460,6/27/2014,260000.0,2,1.0,700,4800,1.0,NO,NONE,Average,7 Average,700,0.0,1922,0.0,98122,47.6147,-122.3,1440,4800
6340,9828200460,1/6/2015,430000.0,2,1.0,700,4800,1.0,NO,NONE,Average,7 Average,700,0.0,1922,0.0,98122,47.6147,-122.3,1440,4800
6365,9222400605,11/15/2014,842500.0,5,4.0,2980,4500,1.5,,NONE,Average,7 Average,2070,910.0,1921,0.0,98115,47.6736,-122.323,1560,4225
6366,9222400605,4/11/2015,850000.0,5,4.0,2980,4500,1.5,NO,NONE,Average,7 Average,2070,910.0,1921,0.0,98115,47.6736,-122.323,1560,4225
6428,8832900780,10/13/2014,480000.0,5,2.0,1760,21562,1.0,NO,FAIR,Average,8 Good,1560,200.0,1959,,98028,47.7597,-122.263,2150,12676
6429,8832900780,4/8/2015,647500.0,5,2.0,1760,21562,1.0,NO,FAIR,Average,8 Good,1560,200.0,1959,0.0,98028,47.7597,-122.263,2150,12676
6527,8645530010,5/15/2014,225000.0,3,2.0,1400,7384,1.0,NO,NONE,Average,7 Average,1150,250.0,1979,,98058,47.4655,-122.174,1820,7992
6528,8645530010,3/25/2015,295000.0,3,2.0,1400,7384,1.0,NO,NONE,Average,7 Average,1150,250.0,1979,0.0,98058,47.4655,-122.174,1820,7992
6624,3323059027,5/28/2014,326000.0,3,2.75,1720,28000,1.0,NO,NONE,Good,7 Average,1720,0.0,1958,0.0,98058,47.4375,-122.176,2000,41817
6625,3323059027,2/25/2015,340000.0,3,2.75,1720,28000,1.0,NO,NONE,Good,7 Average,1720,0.0,1958,,98058,47.4375,-122.176,2000,41817
6713,5417600130,10/10/2014,244500.0,2,1.0,910,9000,1.0,,NONE,Average,5 Fair,910,0.0,1923,0.0,98065,47.526,-121.81,1290,9000
6714,5417600130,5/12/2015,301000.0,2,1.0,910,9000,1.0,NO,NONE,Average,5 Fair,910,0.0,1923,0.0,98065,47.526,-121.81,1290,9000
6783,8651510380,8/21/2014,310000.0,3,2.0,2070,9195,1.0,NO,NONE,Average,8 Good,1220,850.0,1982,,98074,47.6491,-122.061,2080,9551
6784,8651510380,12/16/2014,539000.0,3,2.0,2070,9195,1.0,NO,NONE,Average,8 Good,1220,850.0,1982,0.0,98074,47.6491,-122.061,2080,9551
6896,5249801440,12/16/2014,250000.0,3,1.0,1660,7650,1.5,,NONE,Average,7 Average,1350,310.0,1910,0.0,98118,47.5576,-122.277,1750,5760
6897,5249801440,4/22/2015,570000.0,3,1.0,1660,7650,1.5,,NONE,Average,7 Average,1350,310.0,1910,0.0,98118,47.5576,-122.277,1750,5760
7171,526059224,9/23/2014,260000.0,4,1.75,1650,7276,1.0,NO,NONE,Average,7 Average,1010,640.0,1977,0.0,98011,47.7721,-122.206,1840,8550
7172,526059224,2/6/2015,470000.0,4,1.75,1650,7276,1.0,NO,NONE,Average,7 Average,1010,640.0,1977,0.0,98011,47.7721,-122.206,1840,8550
7238,1446403850,9/16/2014,118125.0,2,1.0,790,7153,1.0,NO,NONE,Good,6 Low Average,790,0.0,1944,0.0,98168,47.4869,-122.324,810,7128
7239,1446403850,1/14/2015,212000.0,2,1.0,790,7153,1.0,NO,NONE,Good,6 Low Average,790,0.0,1944,0.0,98168,47.4869,-122.324,810,7128
7785,251300110,7/31/2014,225000.0,3,2.25,2510,12013,2.0,NO,NONE,Average,8 Good,2510,0.0,1988,0.0,98003,47.3473,-122.314,1870,8017
7786,251300110,1/14/2015,358000.0,3,2.25,2510,12013,2.0,NO,NONE,Average,8 Good,2510,0.0,1988,0.0,98003,47.3473,-122.314,1870,8017
7838,4139420590,5/20/2014,1210000.0,4,3.5,4560,16643,1.0,NO,GOOD,Average,12 Luxury,2230,2330.0,1995,0.0,98006,47.5521,-122.115,4060,15177
7839,4139420590,8/27/2014,1200000.0,4,3.5,4560,16643,1.0,NO,GOOD,Average,12 Luxury,2230,2330.0,1995,0.0,98006,47.5521,-122.115,4060,15177
7840,2621600015,1/21/2015,120000.0,3,1.0,1150,8924,1.0,NO,NONE,Average,6 Low Average,1150,0.0,1943,0.0,98030,47.3865,-122.217,1492,8924
7841,2621600015,4/30/2015,175000.0,3,1.0,1150,8924,1.0,NO,NONE,Average,6 Low Average,1150,0.0,1943,0.0,98030,47.3865,-122.217,1492,8924
8004,2206700215,8/22/2014,375000.0,4,2.0,2070,9822,1.0,NO,NONE,Very Good,7 Average,2070,0.0,1955,0.0,98006,47.566,-122.14,1300,9572
8005,2206700215,4/22/2015,550000.0,4,2.0,2070,9822,1.0,NO,NONE,Very Good,7 Average,2070,0.0,1955,0.0,98006,47.566,-122.14,1300,9572
8118,2787460720,2/27/2015,200000.0,3,2.0,1010,7896,1.0,NO,NONE,Average,7 Average,1010,0.0,1984,0.0,98031,47.4046,-122.181,1540,7896
8119,2787460720,5/6/2015,259950.0,3,2.0,1010,7896,1.0,NO,NONE,Average,7 Average,1010,0.0,1984,0.0,98031,47.4046,-122.181,1540,7896
8267,3883800011,11/5/2014,82000.0,3,1.0,860,10426,1.0,NO,NONE,Average,6 Low Average,860,0.0,1954,0.0,98146,47.4987,-122.341,1140,11250
8268,3883800011,4/8/2015,219900.0,3,1.0,860,10426,1.0,NO,NONE,Average,6 Low Average,860,0.0,1954,0.0,98146,47.4987,-122.341,1140,11250
8333,4154300296,9/26/2014,235000.0,3,1.0,960,5030,1.0,NO,NONE,Average,7 Average,960,0.0,1955,0.0,98118,47.5611,-122.28,1460,5400
8334,4154300296,3/18/2015,545000.0,3,1.0,960,5030,1.0,NO,NONE,Average,7 Average,960,0.0,1955,0.0,98118,47.5611,-122.28,1460,5400
8426,1721801010,9/3/2014,225000.0,3,1.0,1790,6120,1.0,NO,NONE,Average,6 Low Average,1790,0.0,1937,1964.0,98146,47.508,-122.337,830,6120
8427,1721801010,4/24/2015,302100.0,3,1.0,1790,6120,1.0,NO,NONE,Average,6 Low Average,1790,0.0,1937,1964.0,98146,47.508,-122.337,830,6120
8496,1237500540,10/21/2014,225000.0,3,1.75,1370,10866,1.0,NO,NONE,Good,6 Low Average,1370,0.0,1945,0.0,98052,47.6774,-122.164,1580,14250
8497,1237500540,12/22/2014,270000.0,3,1.75,1370,10866,1.0,NO,NONE,Good,6 Low Average,1370,0.0,1945,,98052,47.6774,-122.164,1580,14250
8523,5101405604,8/14/2014,350000.0,1,1.0,900,6380,1.0,NO,NONE,Average,6 Low Average,900,0.0,1947,0.0,98125,47.7019,-122.311,1830,6380
8524,5101405604,4/28/2015,395000.0,1,1.0,900,6380,1.0,,NONE,Average,6 Low Average,900,0.0,1947,0.0,98125,47.7019,-122.311,1830,6380
8621,5127001320,11/25/2014,190000.0,3,1.75,1520,9600,1.0,NO,NONE,Good,7 Average,1520,0.0,1967,0.0,98059,47.473,-122.149,1590,10183
8622,5127001320,2/23/2015,314950.0,3,1.75,1520,9600,1.0,,NONE,Good,7 Average,1520,0.0,1967,0.0,98059,47.473,-122.149,1590,10183
8895,5282200015,5/27/2014,525000.0,5,3.0,2750,3800,1.5,NO,NONE,Very Good,7 Average,1750,1000.0,1926,0.0,98115,47.6845,-122.313,1900,3800
8896,5282200015,1/26/2015,840000.0,5,3.0,2750,3800,1.5,NO,NONE,Very Good,7 Average,1750,1000.0,1926,0.0,98115,47.6845,-122.313,1900,3800
8906,7977201065,11/4/2014,350000.0,3,1.75,1380,4590,1.0,NO,NONE,Fair,7 Average,930,450.0,1950,0.0,98115,47.6841,-122.293,1320,4692
8907,7977201065,3/5/2015,740000.0,3,1.75,1380,4590,1.0,NO,NONE,Fair,7 Average,930,450.0,1950,0.0,98115,47.6841,-122.293,1320,4692
9007,3739500096,1/26/2015,229000.0,3,2.0,1540,6000,1.0,NO,NONE,Good,6 Low Average,1540,0.0,1953,0.0,98155,47.7372,-122.307,1490,8213
9008,3739500096,5/5/2015,430000.0,3,2.0,1540,6000,1.0,NO,NONE,Good,6 Low Average,1540,0.0,1953,0.0,98155,47.7372,-122.307,1490,8213
9105,1568100300,9/17/2014,350000.0,6,4.5,3500,8504,2.0,NO,NONE,Average,7 Average,3500,0.0,1980,0.0,98155,47.7351,-122.295,1550,8460
9106,1568100300,1/21/2015,682500.0,6,4.5,3500,8504,2.0,NO,NONE,Average,7 Average,3500,?,1980,0.0,98155,47.7351,-122.295,1550,8460
9111,1922059278,10/14/2014,145000.0,3,1.0,1010,11880,1.0,NO,NONE,Average,7 Average,1010,0.0,1960,,98030,47.3762,-122.219,1150,9435
9112,1922059278,3/5/2015,255000.0,3,1.0,1010,11880,1.0,NO,NONE,Average,7 Average,1010,0.0,1960,,98030,47.3762,-122.219,1150,9435
9225,302000375,8/14/2014,169100.0,3,2.0,1050,18304,1.0,NO,NONE,Good,7 Average,1050,0.0,1953,0.0,98001,47.3206,-122.269,1690,15675
9226,302000375,5/6/2015,250000.0,3,2.0,1050,18304,1.0,NO,NONE,Good,7 Average,1050,0.0,1953,0.0,98001,47.3206,-122.269,1690,15675
9266,722039087,9/23/2014,220500.0,2,1.0,990,57499,1.0,NO,NONE,Fair,6 Low Average,990,0.0,1949,0.0,98070,47.4145,-122.463,2090,27442
9267,722039087,5/4/2015,329000.0,2,1.0,990,57499,1.0,NO,NONE,Fair,6 Low Average,990,0.0,1949,0.0,98070,47.4145,-122.463,2090,27442
9268,8129700644,7/3/2014,715000.0,3,4.0,2080,2250,3.0,NO,EXCELLENT,Average,8 Good,2080,0.0,1997,0.0,98103,47.6598,-122.355,2080,2250
9269,8129700644,4/24/2015,780000.0,3,4.0,2080,2250,3.0,NO,EXCELLENT,Average,8 Good,2080,0.0,1997,,98103,47.6598,-122.355,2080,2250
9270,4443800385,8/18/2014,410000.0,2,1.0,1480,4080,1.0,,NONE,Average,7 Average,1050,430.0,1949,0.0,98117,47.6842,-122.393,1310,4080
9271,4443800385,5/6/2015,778100.0,2,1.0,1480,4080,1.0,NO,NONE,Average,7 Average,1050,430.0,1949,0.0,98117,47.6842,-122.393,1310,4080
9383,2212200100,10/22/2014,229950.0,4,2.5,2150,7670,1.0,,NONE,Very Good,7 Average,1240,910.0,1976,0.0,98031,47.3942,-122.189,1610,7350
9384,2212200100,4/22/2015,344900.0,4,2.5,2150,7670,1.0,,NONE,Very Good,7 Average,1240,910.0,1976,0.0,98031,47.3942,-122.189,1610,7350
9430,4302201085,9/18/2014,248000.0,3,1.0,1470,7680,1.0,NO,NONE,Average,7 Average,1220,250.0,1946,0.0,98106,47.5276,-122.359,1470,6784
9431,4302201085,5/6/2015,546940.0,3,1.0,1470,7680,1.0,NO,NONE,Average,7 Average,1220,250.0,1946,,98106,47.5276,-122.359,1470,6784
9480,5054800110,10/16/2014,238000.0,5,2.25,2240,9652,2.0,,NONE,Average,7 Average,2240,0.0,1990,0.0,98055,47.4249,-122.211,2180,11644
9481,5054800110,2/13/2015,328000.0,5,2.25,2240,9652,2.0,,NONE,Average,7 Average,2240,0.0,1990,0.0,98055,47.4249,-122.211,2180,11644
9497,8103000110,6/3/2014,280000.0,2,1.5,1480,15641,1.0,NO,NONE,Good,7 Average,1480,0.0,1940,0.0,98146,47.5008,-122.366,1520,7525
9498,8103000110,2/5/2015,490000.0,2,1.5,1480,15641,1.0,NO,NONE,Good,7 Average,1480,0.0,1940,0.0,98146,47.5008,-122.366,1520,7525
9711,2568300045,6/25/2014,305000.0,6,2.0,1900,8240,1.0,,NONE,Fair,7 Average,1200,700.0,1964,0.0,98125,47.7037,-122.296,1900,8240
