,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2495,1000102,4/22/2015,300000.0,6,3.0,2400,9373,2.0,NO,NONE,Average,7,2400,0.0,1991,0.0,98002,47.3262,-122.214,2060,7316
2501,1781500435,2/25/2015,575000.0,3,1.75,1580,7344,1.0,NO,NONE,Very Good,7,1580,0.0,1911,0.0,98126,47.5256,-122.38,1580,6207
2530,1232000810,3/26/2015,537000.0,3,2.5,1400,4800,1.0,NO,NONE,Average,7,1200,200.0,1921,0.0,98117,47.6865,-122.379,1440,3840
2563,7856400240,2/11/2015,1650000.0,4,3.0,3900,9750,1.0,,EXCELLENT,Very Good,10,2520,1380.0,1972,0.0,98006,47.5605,-122.158,3410,9450
2630,7983000200,2/25/2015,250000.0,3,1.0,1300,8284,1.0,NO,NONE,Average,7,1300,0.0,1968,0.0,98003,47.3327,-122.306,1360,7848
2975,9136103130,5/12/2015,685000.0,2,1.5,1090,4013,1.5,NO,NONE,Average,7,1090,0.0,1900,,98103,47.6652,-122.338,1390,4013
3032,5083000375,3/19/2015,235000.0,3,1.0,1310,9529,1.0,NO,NONE,Average,7,1310,0.0,1956,0.0,98198,47.4105,-122.295,1330,9529
3296,7409700215,3/13/2015,921500.0,3,1.5,1900,5000,1.5,NO,NONE,Average,7,1640,260.0,1926,0.0,98115,47.6779,-122.294,2090,5000
3537,1823049202,1/7/2015,326000.0,6,1.5,1930,8400,1.0,NO,NONE,Average,7,1030,900.0,1971,0.0,98146,47.4869,-122.34,1780,9520
3620,2767602141,12/22/2014,650000.0,3,1.5,1380,4290,1.0,NO,NONE,Average,7,1080,300.0,1955,,98107,47.674,-122.379,1510,3900
3753,1254200015,4/8/2015,625000.0,3,2.5,2260,5500,1.5,NO,NONE,Average,7,1280,980.0,1910,0.0,98117,47.681,-122.388,1790,5355
3782,723049156,11/12/2014,284700.0,3,1.0,1700,8645,1.0,NO,NONE,Average,6,1700,0.0,1955,0.0,98146,47.4899,-122.337,1500,7980
3790,4435000705,3/9/2015,255500.0,3,1.0,1350,8700,1.5,NO,NONE,Average,6,1350,0.0,1942,,98188,47.4497,-122.289,1300,8700
3875,4364700600,3/30/2015,390000.0,3,1.0,1010,7920,1.0,NO,NONE,Average,6,1010,0.0,1925,0.0,98126,47.5249,-122.37,1520,7560
3947,1825069031,10/16/2014,550000.0,4,1.75,2410,8447,2.0,,GOOD,Good,8,2060,350.0,1936,1980.0,98074,47.6499,-122.088,2520,14789
4074,3262300940,2/10/2015,940000.0,3,1.0,1220,8119,1.0,NO,NONE,Good,7,1220,0.0,1955,,98039,47.6328,-122.236,1910,8119
4339,9353300600,3/26/2015,370000.0,3,1.5,1360,10726,1.0,NO,NONE,Good,7,1360,0.0,1966,0.0,98059,47.4948,-122.134,1650,10726
4868,1524079093,3/18/2015,369500.0,3,1.75,1300,20700,1.0,,NONE,Average,7,1300,0.0,1962,0.0,98024,47.5587,-121.904,1930,37638
4918,9809000020,3/13/2015,1940000.0,5,2.25,3120,16672,2.0,NO,NONE,Good,9,3120,0.0,1969,0.0,98004,47.6458,-122.219,3740,17853
5240,3303000130,4/28/2015,520000.0,3,2.25,1770,7667,1.0,,NONE,Average,8,1270,500.0,1966,,98177,47.7724,-122.362,2180,8103
5247,7524400250,11/24/2014,589950.0,3,2.0,2080,12094,2.0,NO,NONE,Good,8,2080,0.0,1982,,98052,47.7035,-122.164,2230,12204
5268,4204400098,4/21/2015,385000.0,5,1.75,2190,8250,1.0,,AVERAGE,Average,7,1190,1000.0,1963,0.0,98055,47.4887,-122.223,2570,8250
5336,6632900574,2/25/2015,595000.0,5,3.0,2980,10064,1.0,NO,NONE,Average,7,1680,1300.0,1940,0.0,98155,47.7372,-122.316,1590,7800
5588,2726049071,4/8/2015,489950.0,2,1.0,820,4206,1.0,NO,NONE,Average,5,820,0.0,1949,,98125,47.7076,-122.284,1810,7200
5690,3578401060,5/4/2015,625000.0,3,2.25,1920,9672,2.0,NO,NONE,Good,8,1920,0.0,1984,0.0,98074,47.6233,-122.046,1950,10125
5719,1788800630,2/25/2015,185000.0,3,1.0,840,12091,1.0,NO,NONE,Average,6,840,0.0,1959,0.0,98023,47.3281,-122.343,840,9324
5752,6381500170,1/16/2015,365000.0,2,1.0,910,7617,1.0,NO,NONE,Average,6,910,0.0,1936,0.0,98125,47.7332,-122.305,1310,6624
5754,1954420170,11/13/2014,580000.0,3,2.5,2150,7484,2.0,NO,NONE,Average,8,2150,0.0,1988,,98074,47.6191,-122.043,2150,6879
5967,1545800290,4/8/2015,315000.0,4,2.5,1700,6675,2.0,NO,NONE,Average,7,1700,0.0,1997,0.0,98038,47.3638,-122.053,1570,7540
6340,9828200460,1/6/2015,430000.0,2,1.0,700,4800,1.0,NO,NONE,Average,7,700,0.0,1922,0.0,98122,47.6147,-122.3,1440,4800
6366,9222400605,4/11/2015,850000.0,5,4.0,2980,4500,1.5,NO,NONE,Average,7,2070,910.0,1921,0.0,98115,47.6736,-122.323,1560,4225
6429,8832900780,4/8/2015,647500.0,5,2.0,1760,21562,1.0,NO,FAIR,Average,8,1560,200.0,1959,0.0,98028,47.7597,-122.263,2150,12676
6528,8645530010,3/25/2015,295000.0,3,2.0,1400,7384,1.0,NO,NONE,Average,7,1150,250.0,1979,0.0,98058,47.4655,-122.174,1820,7992
6625,3323059027,2/25/2015,340000.0,3,2.75,1720,28000,1.0,NO,NONE,Good,7,1720,0.0,1958,,98058,47.4375,-122.176,2000,41817
6714,5417600130,5/12/2015,301000.0,2,1.0,910,9000,1.0,NO,NONE,Average,5,910,0.0,1923,0.0,98065,47.526,-121.81,1290,9000
6784,8651510380,12/16/2014,539000.0,3,2.0,2070,9195,1.0,NO,NONE,Average,8,1220,850.0,1982,0.0,98074,47.6491,-122.061,2080,9551
6897,5249801440,4/22/2015,570000.0,3,1.0,1660,7650,1.5,,NONE,Average,7,1350,310.0,1910,0.0,98118,47.5576,-122.277,1750,5760
7172,526059224,2/6/2015,470000.0,4,1.75,1650,7276,1.0,NO,NONE,Average,7,1010,640.0,1977,0.0,98011,47.7721,-122.206,1840,8550
7239,1446403850,1/14/2015,212000.0,2,1.0,790,7153,1.0,NO,NONE,Good,6,790,0.0,1944,0.0,98168,47.4869,-122.324,810,7128
7786,251300110,1/14/2015,358000.0,3,2.25,2510,12013,2.0,NO,NONE,Average,8,2510,0.0,1988,0.0,98003,47.3473,-122.314,1870,8017
7839,4139420590,8/27/2014,1200000.0,4,3.5,4560,16643,1.0,NO,GOOD,Average,12,2230,2330.0,1995,0.0,98006,47.5521,-122.115,4060,15177
7841,2621600015,4/30/2015,175000.0,3,1.0,1150,8924,1.0,NO,NONE,Average,6,1150,0.0,1943,0.0,98030,47.3865,-122.217,1492,8924
8005,2206700215,4/22/2015,550000.0,4,2.0,2070,9822,1.0,NO,NONE,Very Good,7,2070,0.0,1955,0.0,98006,47.566,-122.14,1300,9572
8119,2787460720,5/6/2015,259950.0,3,2.0,1010,7896,1.0,NO,NONE,Average,7,1010,0.0,1984,0.0,98031,47.4046,-122.181,1540,7896
8268,3883800011,4/8/2015,219900.0,3,1.0,860,10426,1.0,NO,NONE,Average,6,860,0.0,1954,0.0,98146,47.4987,-122.341,1140,11250
8334,4154300296,3/18/2015,545000.0,3,1.0,960,5030,1.0,NO,NONE,Average,7,960,0.0,1955,0.0,98118,47.5611,-122.28,1460,5400
8427,1721801010,4/24/2015,302100.0,3,1.0,1790,6120,1.0,NO,NONE,Average,6,1790,0.0,1937,1964.0,98146,47.508,-122.337,830,6120
8497,1237500540,12/22/2014,270000.0,3,1.75,1370,10866,1.0,NO,NONE,Good,6,1370,0.0,1945,,98052,47.6774,-122.164,1580,14250
8524,5101405604,4/28/2015,395000.0,1,1.0,900,6380,1.0,,NONE,Average,6,900,0.0,1947,0.0,98125,47.7019,-122.311,1830,6380
8622,5127001320,2/23/2015,314950.0,3,1.75,1520,9600,1.0,,NONE,Good,7,1520,0.0,1967,0.0,98059,47.473,-122.149,1590,10183
8896,5282200015,1/26/2015,840000.0,5,3.0,2750,3800,1.5,NO,NONE,Very Good,7,1750,1000.0,1926,0.0,98115,47.6845,-122.313,1900,3800
8907,7977201065,3/5/2015,740000.0,3,1.75,1380,4590,1.0,NO,NONE,Fair,7,930,450.0,1950,0.0,98115,47.6841,-122.293,1320,4692
9008,3739500096,5/5/2015,430000.0,3,2.0,1540,6000,1.0,NO,NONE,Good,6,1540,0.0,1953,0.0,98155,47.7372,-122.307,1490,8213
9106,1568100300,1/21/2015,682500.0,6,4.5,3500,8504,2.0,NO,NONE,Average,7,3500,?,1980,0.0,98155,47.7351,-122.295,1550,8460
9112,1922059278,3/5/2015,255000.0,3,1.0,1010,11880,1.0,NO,NONE,Average,7,1010,0.0,1960,,98030,47.3762,-122.219,1150,9435
9226,302000375,5/6/2015,250000.0,3,2.0,1050,18304,1.0,NO,NONE,Good,7,1050,0.0,1953,0.0,98001,47.3206,-122.269,1690,15675
9267,722039087,5/4/2015,329000.0,2,1.0,990,57499,1.0,NO,NONE,Fair,6,990,0.0,1949,0.0,98070,47.4145,-122.463,2090,27442
9269,8129700644,4/24/2015,780000.0,3,4.0,2080,2250,3.0,NO,EXCELLENT,Average,8,2080,0.0,1997,,98103,47.6598,-122.355,2080,2250
9271,4443800385,5/6/2015,778100.0,2,1.0,1480,4080,1.0,NO,NONE,Average,7,1050,430.0,1949,0.0,98117,47.6842,-122.393,1310,4080
9384,2212200100,4/22/2015,344900.0,4,2.5,2150,7670,1.0,,NONE,Very Good,7,1240,910.0,1976,0.0,98031,47.3942,-122.189,1610,7350
9431,4302201085,5/6/2015,546940.0,3,1.0,1470,7680,1.0,NO,NONE,Average,7,1220,250.0,1946,,98106,47.5276,-122.359,1470,6784
9481,5054800110,2/13/2015,328000.0,5,2.25,2240,9652,2.0,,NONE,Average,7,2240,0.0,1990,0.0,98055,47.4249,-122.211,2180,11644
9498,8103000110,2/5/2015,490000.0,2,1.5,1480,15641,1.0,NO,NONE,Good,7,1480,0.0,1940,0.0,98146,47.5008,-122.366,1520,7525
9712,2568300045,3/19/2015,649950.0,6,2.0,1900,8240,1.0,NO,NONE,Fair,7,1200,700.0,1964,,98125,47.7037,-122.296,1900,8240
9811,3598600049,4/24/2015,224000.0,1,0.75,840,7203,1.5,NO,NONE,Average,6,840,0.0,1949,0.0,98168,47.4756,-122.301,1560,8603
9866,1219000473,3/23/2015,371000.0,3,1.75,1570,15330,1.0,NO,NONE,Average,7,1080,490.0,1956,0.0,98166,47.4608,-122.34,1250,13330
10211,3293700496,12/4/2014,450000.0,4,1.75,1850,7730,1.0,,NONE,Very Good,7,1100,750.0,1956,0.0,98133,47.7481,-122.355,2260,8581
10216,8945100320,10/8/2014,224097.0,3,1.5,1420,8580,1.0,NO,NONE,Average,6,1420,0.0,1962,0.0,98023,47.3076,-122.362,1200,8580
10243,2422049104,12/30/2014,235000.0,2,1.0,830,9000,1.0,NO,NONE,Average,6,830,0.0,1939,0.0,98032,47.3813,-122.243,1160,7680
10247,1995200200,10/8/2014,415000.0,3,1.0,1510,6083,1.0,NO,NONE,Good,6,860,650.0,1940,0.0,98115,47.6966,-122.324,1510,5712
10262,1450100390,3/16/2015,208000.0,3,1.0,920,7314,1.0,NO,NONE,Average,6,920,0.0,1960,,98002,47.2892,-122.22,1010,7420
10309,6623400187,2/20/2015,365000.0,4,1.0,1760,8906,1.0,NO,NONE,Average,7,1230,530.0,1966,0.0,98055,47.4288,-122.198,1180,10407
10599,2767603612,1/13/2015,489000.0,2,2.25,1290,1334,3.0,NO,NONE,Average,8,1290,0.0,2007,,98107,47.6719,-122.382,1350,1334
10905,7227800055,11/24/2014,247000.0,4,2.0,1750,8116,1.0,NO,NONE,Good,5,1750,0.0,1943,0.0,98056,47.5097,-122.181,1440,7865
10958,3271300955,2/24/2015,868000.0,4,2.5,2020,4350,2.0,NO,NONE,Very Good,9,1730,290.0,1943,0.0,98199,47.6503,-122.41,1620,5800
11050,6141100320,2/13/2015,570000.0,2,1.0,1500,6685,1.0,NO,NONE,Average,7,1190,310.0,1926,0.0,98133,47.7186,-122.354,1420,6561
11183,1139600270,3/24/2015,310000.0,3,2.75,2090,9620,1.0,NO,NONE,Average,8,1340,750.0,1987,0.0,98023,47.2741,-122.337,2150,9660
11191,8161020060,4/14/2015,471000.0,4,2.5,2040,21781,2.0,NO,NONE,Average,8,2040,0.0,1994,0.0,98014,47.6458,-121.904,2410,21781
11276,5101402435,3/4/2015,539000.0,3,2.25,1540,5338,1.0,NO,NONE,Very Good,7,770,770.0,1954,0.0,98115,47.6942,-122.304,1680,6525
11351,7701960990,8/19/2014,870000.0,4,2.5,3190,14565,2.0,NO,NONE,Average,11,3190,0.0,1990,0.0,98077,47.713,-122.072,3420,20475
11422,109200390,10/20/2014,250000.0,3,1.75,1480,3900,1.0,NO,NONE,Good,7,1480,0.0,1980,0.0,98023,47.2977,-122.367,1830,6956
11447,4305200070,9/22/2014,561000.0,3,2.25,1640,7200,2.0,NO,NONE,Good,8,1640,0.0,1985,,98007,47.5948,-122.153,1830,8372
11575,8807810890,11/5/2014,385000.0,3,1.0,1250,21303,1.0,NO,NONE,Average,6,1250,0.0,1970,,98053,47.6625,-122.059,1250,17920
11764,2892700041,1/28/2015,238000.0,3,1.5,1370,7439,1.0,,NONE,Good,6,1370,0.0,1963,0.0,98055,47.4499,-122.189,2350,3370
12019,7230400400,3/26/2015,415500.0,3,2.0,1220,17652,1.0,NO,NONE,Good,7,1220,0.0,1980,0.0,98059,47.4712,-122.1,1990,17652
12054,1036400200,4/29/2015,697000.0,4,1.75,1670,13125,1.0,NO,NONE,Very Good,8,1670,0.0,1973,0.0,98052,47.6315,-122.101,2360,12500
12110,7520000695,4/21/2015,251000.0,3,1.0,840,4495,1.0,NO,NONE,Average,6,840,0.0,1921,,98146,47.496,-122.349,1260,7434
12197,4031000520,11/25/2014,227000.0,1,2.0,1150,9812,1.0,NO,NONE,Good,7,1150,0.0,1962,0.0,98001,47.2951,-122.284,1200,9812
12321,5430300171,1/29/2015,615500.0,3,1.5,1810,5080,1.0,NO,NONE,Average,7,1030,780.0,1958,0.0,98115,47.6819,-122.287,1780,7620
12327,5132000140,1/20/2015,415000.0,6,1.0,1370,5080,1.5,,NONE,Average,6,1120,250.0,1931,0.0,98106,47.5238,-122.35,1020,5080
12366,7899800045,12/2/2014,232900.0,3,1.5,910,5120,1.0,NO,NONE,Average,6,910,0.0,1973,0.0,98106,47.5238,-122.356,1410,5132
12377,3935900232,1/12/2015,237000.0,3,1.0,920,5546,1.0,NO,NONE,Fair,6,920,0.0,1928,0.0,98125,47.7114,-122.284,1300,5546
12406,123039336,12/8/2014,244900.0,1,1.0,620,8261,1.0,NO,NONE,Average,5,620,0.0,1939,,98106,47.5138,-122.364,1180,8244
12423,1217000340,2/19/2015,340000.0,3,1.0,1840,8100,1.0,NO,NONE,Good,7,920,920.0,1953,0.0,98166,47.455,-122.35,1250,8100
12820,9238500040,2/10/2015,599000.0,3,2.5,2970,23100,1.0,NO,NONE,Average,7,1510,1460.0,1967,0.0,98072,47.7735,-122.133,2390,20300
12908,8910500150,1/20/2015,539000.0,3,1.5,1460,5040,1.0,NO,NONE,Average,7,1100,360.0,1971,0.0,98133,47.7112,-122.357,2330,7560
12943,2019200220,2/26/2015,269000.0,3,2.25,1470,8682,1.0,NO,NONE,Average,7,1160,310.0,1985,,98003,47.2729,-122.299,1670,8359
13011,9211500620,4/28/2015,305000.0,3,2.25,1740,6650,1.0,NO,NONE,Average,7,1240,500.0,1978,0.0,98023,47.2979,-122.379,1740,7000
13171,1523049207,1/14/2015,220000.0,4,2.0,1700,8043,1.0,NO,NONE,Average,7,850,850.0,1954,0.0,98168,47.4758,-122.288,1540,13260
13286,7167000040,3/5/2015,700000.0,4,3.0,3350,199253,2.0,NO,NONE,Average,10,3350,0.0,2004,0.0,98010,47.3602,-121.988,3350,183897
13605,3185600040,12/24/2014,310000.0,2,1.0,1400,4500,1.0,,NONE,Average,7,900,500.0,1922,0.0,98055,47.4866,-122.219,1400,5500
13616,2023049218,3/16/2015,445000.0,2,1.0,930,7740,1.0,NO,NONE,Poor,5,930,0.0,1932,,98148,47.4611,-122.324,1620,8584
13647,3432501415,11/11/2014,399000.0,3,1.75,1170,8148,1.0,NO,NONE,Average,7,1170,0.0,1952,0.0,98155,47.7479,-122.318,1200,8147
13680,937000330,3/19/2015,246500.0,3,1.5,1170,11530,1.0,NO,NONE,Average,7,1170,0.0,1960,0.0,98198,47.4211,-122.29,1550,8605
13722,5332200530,4/24/2015,1020000.0,5,2.5,2350,4000,2.0,NO,NONE,Average,9,2350,0.0,1993,,98112,47.6265,-122.296,1840,4000
13744,1788900230,4/3/2015,199950.0,3,1.0,840,9480,1.0,NO,NONE,Average,6,840,0.0,1960,0.0,98023,47.3277,-122.341,840,9420
14208,1250201165,3/17/2015,474500.0,5,2.5,2000,3600,1.0,NO,NONE,Average,6,1150,850.0,1987,0.0,98144,47.5971,-122.295,1410,3600
14295,3528000040,3/26/2015,1800000.0,3,3.25,5290,224442,2.0,NO,NONE,Good,11,4540,750.0,1988,0.0,98053,47.6671,-122.051,3750,84936
14354,3333002450,1/22/2015,490000.0,1,1.0,850,8050,1.0,NO,NONE,Fair,6,850,0.0,1906,0.0,98118,47.5427,-122.288,1590,5180
14471,3523069060,4/1/2015,415000.0,3,1.75,1340,63597,1.0,NO,NONE,Good,7,1340,0.0,1963,0.0,98038,47.4379,-122.011,1950,87120
14561,1432400120,5/8/2015,255000.0,3,1.0,1010,7690,1.0,NO,NONE,Good,6,1010,0.0,1958,0.0,98058,47.4501,-122.176,1010,7619
14842,324000530,3/23/2015,459000.0,3,1.0,1320,5000,1.5,NO,NONE,Average,7,1320,0.0,1912,0.0,98116,47.5711,-122.386,1320,4179
14969,6308000010,4/23/2015,585000.0,3,2.5,2290,5089,2.0,NO,NONE,Average,9,2290,0.0,2001,0.0,98006,47.5443,-122.172,2290,7984
14980,4222310010,4/20/2015,267950.0,4,1.0,1730,7350,1.5,NO,NONE,Good,6,1730,0.0,1970,,98003,47.3467,-122.307,1440,7752
14988,7504021310,12/4/2014,745000.0,3,2.5,2970,11985,1.0,,NONE,Average,9,1770,1200.0,1995,0.0,98074,47.6359,-122.052,2990,12049
15133,7961500010,3/4/2015,520000.0,3,2.25,2210,10794,1.0,NO,NONE,Average,7,1540,670.0,1967,0.0,98178,47.4911,-122.224,2230,10753
15143,6669020290,3/4/2015,279950.0,3,1.75,1720,9775,1.0,NO,NONE,Average,8,1720,0.0,1978,0.0,98032,47.3731,-122.286,1970,8400
15186,9834200305,2/10/2015,615000.0,3,1.0,1790,3876,1.5,NO,NONE,Very Good,7,1090,700.0,1904,0.0,98144,47.575,-122.288,1360,4080
15264,2619920170,12/19/2014,765000.0,4,2.5,3230,4290,2.0,NO,NONE,Average,9,3230,0.0,2004,,98033,47.6874,-122.161,3220,5083
15286,705730280,4/21/2015,335000.0,3,2.5,1740,5267,2.0,NO,NONE,Average,7,1740,0.0,1999,0.0,98038,47.3777,-122.023,2180,5000
15352,7972000010,10/21/2014,195000.0,3,1.75,1140,9628,1.0,NO,NONE,Good,7,1140,0.0,1969,,98023,47.2933,-122.372,1510,9633
15455,4202400078,4/28/2015,335000.0,2,1.0,1410,7000,1.0,NO,NONE,Average,7,1410,0.0,1968,0.0,98055,47.4908,-122.223,1540,6000
15555,2560801222,11/13/2014,309950.0,3,2.25,1990,6350,2.0,,NONE,Average,7,1990,0.0,1967,0.0,98198,47.3822,-122.316,1220,6250
15594,3904100089,3/18/2015,300000.0,3,1.75,1350,7370,1.0,NO,NONE,Good,6,1350,0.0,1912,,98118,47.5336,-122.278,1440,6000
15643,7893805650,3/13/2015,475000.0,5,2.0,2050,10200,1.0,NO,NONE,Average,6,1430,620.0,1956,0.0,98198,47.4136,-122.333,1940,8625
15788,2044500213,1/26/2015,449000.0,4,2.0,1870,6000,1.5,NO,NONE,Average,7,1870,0.0,1956,0.0,98125,47.7155,-122.315,1520,7169
15797,7129304540,5/14/2015,440000.0,5,2.0,1430,5600,1.5,NO,NONE,Average,6,1430,0.0,1947,0.0,98118,47.5192,-122.266,1860,5980
15987,2561340020,2/17/2015,500000.0,3,1.75,1780,11096,1.0,NO,NONE,Average,7,1210,570.0,1979,0.0,98074,47.617,-122.051,1780,10640
15999,5536100020,5/12/2015,1190000.0,3,2.0,2160,15788,1.0,NO,NONE,Average,8,2160,0.0,1951,0.0,98004,47.6227,-122.207,2260,9787
16658,9250900104,4/10/2015,496000.0,5,1.75,2110,8500,1.0,NO,NONE,Average,7,1100,1010.0,1962,,98133,47.7737,-122.35,2020,8500
16801,7200179,4/24/2015,175000.0,2,1.0,840,12750,1.0,NO,NONE,Average,6,840,0.0,1925,,98055,47.484,-122.211,1480,6969
17053,8651402750,4/30/2015,219950.0,3,1.5,1210,5200,1.0,NO,NONE,Very Good,6,1210,0.0,1969,0.0,98042,47.3615,-122.087,1120,5200
17120,6143000020,4/6/2015,299000.0,3,1.75,1910,17003,1.5,NO,NONE,Good,8,1910,0.0,1963,0.0,98001,47.3095,-122.283,1820,14806
17191,4139440480,12/1/2014,796500.0,3,2.75,2590,12063,2.0,NO,NONE,Average,10,2590,0.0,1993,0.0,98006,47.5527,-122.12,2850,8469
17267,2473380920,2/27/2015,339000.0,5,2.5,1720,10202,1.5,NO,NONE,Average,7,1720,0.0,1970,0.0,98058,47.4572,-122.167,1720,8478
17277,1974300020,2/18/2015,624900.0,4,2.5,2270,11500,1.0,NO,NONE,Average,8,1540,730.0,1967,,98034,47.7089,-122.241,2020,10918
17368,641900050,2/6/2015,499950.0,4,2.25,2160,8817,1.0,NO,NONE,Average,7,1460,700.0,1965,0.0,98133,47.7595,-122.356,1880,8817
17469,7387500235,3/17/2015,363000.0,3,1.75,1960,8136,1.0,NO,NONE,Average,7,980,980.0,1948,,98106,47.5208,-122.364,1070,7480
17567,1423049019,3/31/2015,220000.0,2,1.0,580,7500,1.0,NO,NONE,Average,5,580,0.0,1943,0.0,98178,47.4852,-122.251,1700,11250
17589,795000620,12/15/2014,124000.0,3,1.0,1080,6250,1.0,NO,NONE,Fair,5,1080,0.0,1950,0.0,98168,47.5045,-122.33,1070,6250
17590,795000620,3/11/2015,157000.0,3,1.0,1080,6250,1.0,,NONE,Fair,5,1080,0.0,1950,,98168,47.5045,-122.33,1070,6250
17750,1630700361,4/9/2015,583500.0,4,1.75,2860,48351,1.0,NO,NONE,Average,8,1710,1150.0,1978,0.0,98077,47.7605,-122.085,2460,43560
17838,6791200120,4/7/2015,515000.0,3,2.25,1820,13362,1.0,NO,NONE,Average,8,1220,600.0,1977,0.0,98075,47.5898,-122.052,2050,15000
18220,6751300375,10/16/2014,522500.0,3,1.0,1520,9030,1.0,NO,NONE,Average,7,1520,0.0,1956,,98007,47.587,-122.134,1470,8712
18550,7657000540,3/4/2015,260000.0,4,1.0,1220,7980,1.5,NO,NONE,Average,6,1220,0.0,1944,0.0,98178,47.4924,-122.237,1210,7920
18689,3558900590,3/24/2015,692500.0,6,1.75,2230,10080,1.0,NO,NONE,Average,7,1390,840.0,1969,0.0,98034,47.7089,-122.201,2110,8475
18691,8121100395,3/11/2015,645000.0,4,1.5,1600,6180,1.5,NO,NONE,Average,6,1600,0.0,1946,0.0,98118,47.5681,-122.285,1410,6180
18748,3332000615,4/22/2015,389000.0,3,1.0,1330,3740,1.5,,NONE,Average,6,1330,0.0,1903,0.0,98118,47.5502,-122.274,1330,5053
18977,7856400300,3/22/2015,1510000.0,2,2.5,3180,9400,2.0,NO,EXCELLENT,Very Good,10,2610,570.0,1985,0.0,98006,47.5617,-122.158,3760,9450
19195,1901600090,4/26/2015,390000.0,5,1.75,1940,6654,1.5,,NONE,Good,7,1940,0.0,1953,0.0,98166,47.4663,-122.359,2300,9500
19321,6021500970,4/7/2015,874950.0,2,1.0,1080,4000,1.0,NO,NONE,Average,7,1080,?,1940,,98117,47.6902,-122.387,1530,4240
19537,643300040,3/13/2015,719521.0,4,1.75,1920,9500,1.0,NO,NONE,Good,7,1470,450.0,1966,0.0,98006,47.5683,-122.177,1820,10091
20038,8648900110,8/26/2014,555000.0,3,2.5,1940,3211,2.0,NO,NONE,Average,8,1940,0.0,2009,0.0,98027,47.5644,-122.093,1880,3078
